Title,Advertisement No,Date,Download Link
"Accounts Officer, Class-1, Gujarat Accounts Service",4/2026-27,17-06-2026 03:20 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9994-2026-27.pdf
"Assistant Conservator of Forest and Range Forest Officer, Class-2",3/2026-27,17-06-2026 03:19 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9994-2026-27.pdf
"Veterinary Officer, Class-2, Forest and Environment Department",2/2026-27,04-06-2026 04:20 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-110-128-02-2026-27.pdf
"Veterinary Officer, Class-2 (New Municipal Corporations)",128/2025-26,04-06-2026 04:19 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-110-128-02-2026-27.pdf
"Veterinary Officer, Gujarat Animal Husbandry Services, Class-2",110/2025-26,04-06-2026 04:18 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-110-128-02-2026-27.pdf
"Scientific Officer, Class-2, (GWSSB)",130/2025-26,22-05-2026 04:42 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK_106_130-2025-26.pdf
"Chief Scientific Officer, Class-1 (GWSSB)",106/2025-26,22-05-2026 04:41 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK_106_130-2025-26.pdf
"Junior Town Planner, Class-2, (New Municipal Corporations)",129/2025-26,22-05-2026 12:47 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK_119_129-2025-26.pdf
"Town Planner, Class-1, (New Municipal Corporations)",119/2025-26,22-05-2026 12:46 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK_119_129-2025-26.pdf
"Health Officer, Class-2, (New Municipal Corporations)",120/2025-26,22-05-2026 12:45 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK_117_120-2025-26.pdf
"Medical Officer of Health, Class-1, (New Municipal Corporations)",117/2025-26,22-05-2026 12:45 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK_117_120-2025-26.pdf
"Assistant Engineer (Mechanical), Class-2,(GMB)",137/2025-26,20-05-2026 05:12 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-108-123-126-136-137-2025-26.pdf
"Deputy Executive Engineer (Mechanical), Class-2, (GMB)",136/2025-26,20-05-2026 05:11 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-108-123-126-136-137-2025-26.pdf
"Deputy Executive Engineer (Mechanical), Class-2, (New Municipal Corporations)",126/2025-26,20-05-2026 05:11 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-108-123-126-136-137-2025-26.pdf
"Assistant Engineer (Mechanical), Class-2, (New Municipal Corporations)",123/2025-26,20-05-2026 05:10 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-108-123-126-136-137-2025-26.pdf
"Deputy Executive Engineer (Mechanical), Class-2 , Narmada, Water Resources, Water Supply and Kalpsar Department",108/2025-26,20-05-2026 05:10 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-108-123-126-136-137-2025-26.pdf
"Assistant Engineer (Electrical), Class-2,(GMB)",138/2025-26,20-05-2026 05:09 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-113-115-122-125-138-2025-26.pdf
"Deputy Executive Engineer (Electrical), Class-2, (New Municipal Corporations)",125/2025-26,20-05-2026 05:09 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-113-115-122-125-138-2025-26.pdf
"Assistant Engineer (Electrical), Class-2, (New Municipal Corporations)",122/2025-26,20-05-2026 05:08 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-113-115-122-125-138-2025-26.pdf
"Assistant Engineer (Electrical), Class-2, Sports Authority Of Gujarat",115/2025-26,20-05-2026 05:08 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-113-115-122-125-138-2025-26.pdf
"Deputy Executive Engineer (Electrical), Class-2, Sports Authority Of Gujarat",113/2025-26,20-05-2026 05:07 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-113-115-122-125-138-2025-26.pdf
"Superintending Archaeologist, Class-2, General State Service, Sports, Youth and Cultural Activities Department",46/2025-26,16-05-2026 05:06 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-46-2025-26.pdf
"District Sports Officer, Class - 2 (Special Recruitment-PwD-First Attempt)",29/2025-26,16-05-2026 05:05 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-29-2025-26.pdf
"Industries Officer (Commissioner Office), Class-2, Industries & Mines Department",153/2024-25,16-05-2026 05:05 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-152-153-2024-25.pdf
"Industries Officer (MSME), Class-2, Industries & Mines Department",152/2024-25,16-05-2026 05:04 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-152-153-2024-25.pdf
"Assistant Engineer (Civil), Class-2, (GMB)",139/2025-26,14-05-2026 02:02 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Electrical), Class-2,(GMB)",138/2025-26,14-05-2026 02:01 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Mechanical), Class-2,(GMB)",137/2025-26,14-05-2026 02:00 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Mechanical), Class-2, (GMB)",136/2025-26,14-05-2026 02:00 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Civil), Class-2, (GMB)",135/2025-26,14-05-2026 01:59 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Executive Engineer (Civil), Class-1, (GMB)",134/2025-26,14-05-2026 01:58 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Librarian, Class–1",133/2025-26,14-05-2026 01:58 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Civil), Class-2, (Gujarat Housing Board)",132/2025-26,14-05-2026 01:57 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Manager (Administration), Class-2 (GWSSB)",131/2025-26,14-05-2026 01:56 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Scientific Officer, Class-2, (GWSSB)",130/2025-26,14-05-2026 01:55 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Junior Town Planner, Class-2, (New Municipal Corporations)",129/2025-26,14-05-2026 01:54 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Sanitation Officer, Class-2, (New Municipal Corporations)",127/2025-26,14-05-2026 01:53 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Mechanical), Class-2, (New Municipal Corporations)",126/2025-26,14-05-2026 01:52 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Electrical), Class-2, (New Municipal Corporations)",125/2025-26,14-05-2026 01:51 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Civil), Class-2, (New Municipal Corporations)",124/2025-26,14-05-2026 01:50 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Mechanical), Class-2, (New Municipal Corporations)",123/2025-26,14-05-2026 01:49 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Electrical), Class-2, (New Municipal Corporations)",122/2025-26,14-05-2026 01:49 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Civil), Class-2, (New Municipal Corporations)",121/2025-26,14-05-2026 01:42 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Town Planner, Class-1, (New Municipal Corporations)",119/2025-26,14-05-2026 01:41 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Additional City Engineer (Civil), Class-1, (New Municipal Corporations)",118/2025-26,14-05-2026 01:21 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Administrative Officer, Class-2, Sports Authority Of Gujarat",116/2025-26,14-05-2026 01:20 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Electrical), Class-2, Sports Authority Of Gujarat",115/2025-26,14-05-2026 01:19 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Engineer (Civil), Class-2, Sports Authority Of Gujarat",114/2025-26,14-05-2026 01:19 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Electrical), Class-2, Sports Authority Of Gujarat",113/2025-26,14-05-2026 01:18 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Civil), Class-2, Sports Authority Of Gujarat",112/2025-26,14-05-2026 01:17 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Director, Class-1, Sports Authority Of Gujarat",111/2025-26,14-05-2026 12:49 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Industry Commissioner, Class-1, Gujarat Industrial Service",109/2025-26,14-05-2026 12:48 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Executive Engineer (Mechanical), Class-2 , Narmada, Water Resources, Water Supply and Kalpsar Department",108/2025-26,14-05-2026 12:47 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Chief Scientific Officer, Class-1 (GWSSB)",106/2025-26,14-05-2026 12:46 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Manager (Secretarial Branch), Class-2 (GSCSCL)",105/2025-26,14-05-2026 12:46 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Manager (MIS - Management Information System), Class-2 (GSCSCL)",104/2025-26,14-05-2026 12:45 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Manager (MIS - Management Information System), Class-1(GSCSCL)",103/2025-26,14-05-2026 12:44 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Administrative Officer, General State Service, Class-2",101/2025-26,14-05-2026 12:39 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Gujarat Educational Service, Class-2, (Administrative Branch)",100/2025-26,14-05-2026 12:39 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Director (Training)/Principal, Class-1, Gujarat Skill Training Service",99/2025-26,14-05-2026 12:38 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Inspector of Inspection of Building and other Construction,Class-2",98/2025-26,14-05-2026 12:37 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Commissioner of Labour,Gujarat Labour Services, Class-1 (Special Recruitment-PwD-Second Attempt)",97/2025-26,14-05-2026 12:36 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Botany in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",95/2025-26,14-05-2026 12:35 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Politics in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",94/2025-26,14-05-2026 12:34 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Gujarat Engineering Service (Civil), Class-1 and Class-2, Narmada and Water Resources, Water Supply and Kalpsar Department and Road & Building Department",1/2026-27,13-05-2026 06:13 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAKCS-01-2026-27.pdf
"Gujarat Engineering Service (Civil), Class-1 and Class-2, Narmada and Water Resources, Water Supply and Kalpsar Department and Road & Building Department",1/2026-27,13-05-2026 06:13 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAKEA-01-2026-27.pdf
"Assistant Professor, Sociology in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",91/2025-26,13-05-2026 06:07 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Geography in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",89/2025-26,13-05-2026 06:07 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Philosophy in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",88/2025-26,13-05-2026 06:06 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Computer Science in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",85/2025-26,13-05-2026 06:05 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Zoology in Government Arts, Science & Commerce College, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",83/2025-26,13-05-2026 06:05 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Lecturer, English in Government Polytechnics, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",78/2025-26,13-05-2026 06:04 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Lecturer, Metallurgy in Government Polytechnics, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",72/2025-26,13-05-2026 06:03 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Lecturer, Ceramic in Government Polytechnics, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",71/2025-26,13-05-2026 06:02 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Lecturer, Architecture in Government Polytechnics, GES, Class-2 (Special Recruitment-PwD-Second Attempt)",70/2025-26,13-05-2026 06:02 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Mathematics in Government Engineering College,GES,Class-2 (Special Recruitment-PwD-Second Attempt)",66/2025-26,13-05-2026 06:01 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Production Engineering in Government Engineering College,GES,Class-2 (Special Recruitment-PwD-Second Attempt)",63/2025-26,13-05-2026 06:00 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Professor, Automobile Engineering in Government Engineering College,GES,Class-2 (Special Recruitment-PwD-Second Attempt)",61/2025-26,13-05-2026 06:00 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Director of Libraries, Class-2",51/2025-26,13-05-2026 05:59 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Administrative Officer, GSS, Commissionerate of Fisheries, Class-2",50/2025-26,13-05-2026 05:59 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Administrative Officer/Assistant Administrative Officer cum Account Officer, Class-2",48/2025-26,13-05-2026 05:46 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Director of Libraries, Class-1",47/2025-26,13-05-2026 05:42 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Deputy Director of Information, Class-1 and Assistant Director of Information (Journalism), Class-2, Information and Broadcasting Department",45/2025-26,13-05-2026 05:41 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Superintending Archaeologist, Class-2, General State Service, Sports, Youth and Cultural Activities Department",46/2025-26,13-05-2026 05:40 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"District Sports Officer, Class - 2 (Special Recruitment-PwD-First Attempt)",29/2025-26,13-05-2026 05:40 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Child Development Project Officer (Female), General State Service, Class-2, Women and Child Development Department (Special Recruitment-PwD-First Attempt)",26/2025-26,13-05-2026 05:39 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Director of Insurance, Class-2, Finance Department (Special Recruitment-PwD-Second Attempt)",25/2025-26,13-05-2026 05:32 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Assistant Director, Class-2, GSS, Industries and Mines (Special Recruitment-PwD-Second Attempt)",22/2025-26,13-05-2026 05:31 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Industries Officer (Commissioner Office), Class-2, Industries & Mines Department",153/2024-25,13-05-2026 05:30 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Industries Officer (MSME), Class-2, Industries & Mines Department",152/2024-25,13-05-2026 05:30 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Principal, Class-2",140/2024-25,13-05-2026 05:29 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9995-202526.pdf
"Gujarat Engineering Service (Civil), Class-1 and Class-2, Narmada and Water Resources, Water Supply and Kalpsar Department and Road & Building Department",1/2026-27,13-05-2026 05:13 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAKGS-_1-202627.pdf
"Assistant Engineer (Civil), Class-2, (GMB)",139/2025-26,08-05-2026 04:34 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Deputy Executive Engineer (Civil), Class-2, (GMB)",135/2025-26,08-05-2026 04:34 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Executive Engineer (Civil), Class-1, (GMB)",134/2025-26,08-05-2026 04:33 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Assistant Engineer (Civil), Class-2, (Gujarat Housing Board)",132/2025-26,08-05-2026 04:33 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Deputy Executive Engineer (Civil), Class-2, (New Municipal Corporations)",124/2025-26,08-05-2026 04:32 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Assistant Engineer (Civil), Class-2, (New Municipal Corporations)",121/2025-26,08-05-2026 04:32 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Additional City Engineer (Civil), Class-1, (New Municipal Corporations)",118/2025-26,08-05-2026 04:31 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Assistant Engineer (Civil), Class-2, Sports Authority Of Gujarat",114/2025-26,08-05-2026 04:31 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Deputy Executive Engineer (Civil), Class-2, Sports Authority Of Gujarat",112/2025-26,08-05-2026 04:30 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Inspector of Inspection of Building and other Construction,Class-2",98/2025-26,08-05-2026 04:28 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Inspector of Inspection of Building and other Construction,Class-2",98/2025-26,08-05-2026 04:27 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-08-05-2026.pdf
"Principal, Gujarat Nursing Service, Class-1, Health & Family Welfare Department",101/2024-25,27-04-2026 11:26 AM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-27-02-2025.pdf
"Assistant Engineer (Mechanical), Class-2 Narmada Water Resources , Water Supply and Kalpsar Department",36/2024-25,27-04-2026 11:25 AM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-27-02-2025.pdf
"Librarian, Class–1",133/2025-26,24-04-2026 05:44 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-47-51-133-2025-26_(1).pdf
"Assistant Director of Libraries, Class-2",51/2025-26,24-04-2026 05:44 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-47-51-133-2025-26_(1).pdf
"Director of Libraries, Class-1",47/2025-26,24-04-2026 05:43 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-47-51-133-2025-26_(1).pdf
"Assistant Industry Commissioner, Class-1, Gujarat Industrial Service",109/2025-26,24-04-2026 01:15 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-109-202526.pdf
"Principal, Class-2",140/2024-25,24-04-2026 01:15 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-99-140-202526.pdf
"Assistant Director (Training)/Principal, Class-1, Gujarat Skill Training Service",99/2025-26,24-04-2026 01:14 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-99-140-202526.pdf
"Lecturer, Mechanical Engineering in Government Polytechnics, GES, Class-2",227/2024-25,18-04-2026 01:10 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAKC-174-227-2024-25_c.pdf
"Assistant Professor, Mechanical Engineering in Government Engineering College,GES,Class-2",174/2024-25,18-04-2026 01:03 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9996-202425_c.pdf
"Lecturer, Electrical Engineering in Government Polytechnics, GES, Class-2",226/2024-25,18-04-2026 12:53 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAKC-160-226-2024-25_c.pdf
"Assistant Professor, Electronics and Communication in Government Engineering College,GES,Class-2",161/2024-25,18-04-2026 12:48 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-9996-202425_c.pdf
"Lecturer, Electronics and Communication in Government Polytechnics, GES, Class-2",216/2024-25,18-04-2026 12:45 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAKC-161-216-2024-25_c.pdf
"Deputy Director of Information, Class-1 and Assistant Director of Information (Journalism), Class-2, Information and Broadcasting Department",45/2025-26,15-04-2026 11:28 AM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-45-202526.pdf
"Deputy Manager (Secretarial Branch), Class-2 (GSCSCL)",105/2025-26,09-04-2026 04:07 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-105-2025-26.pdf
"Deputy Manager (MIS - Management Information System), Class-2 (GSCSCL)",104/2025-26,09-04-2026 04:06 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-103-104-2025-26.pdf
"Manager (MIS - Management Information System), Class-1(GSCSCL)",103/2025-26,09-04-2026 04:06 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-103-104-2025-26.pdf
"Gujarat Educational Service, Class-2, (Administrative Branch)",100/2025-26,09-04-2026 04:04 PM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-100-2025-26.pdf
"Deputy Manager (Administration), Class-2 (GWSSB)",131/2025-26,25-03-2026 11:31 AM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-25-03-2026.pdf
"Administrative Officer, Class-2, Sports Authority Of Gujarat",116/2025-26,25-03-2026 11:31 AM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-25-03-2026.pdf
"Assistant Director, Class-1, Sports Authority Of Gujarat",111/2025-26,25-03-2026 11:30 AM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-25-03-2026.pdf
"Administrative Officer, General State Service, Class-2",101/2025-26,25-03-2026 11:30 AM,https://gpsc.gujarat.gov.in/Documents/AdvertismentDocument/PAK-25-03-2026.pdf
